,"2,6DF-BPA"
300,3.27682
301,3.25896
302,3.23006
303,3.25168
304,3.22716
305,3.21986
306,3.21974
307,3.19316
308,3.19001
309,3.18019
310,3.16261
311,3.16592
312,3.15232
313,3.14358
314,3.14056
315,3.12042
316,3.11429
317,3.09682
318,3.07389
319,3.06606
320,3.04063
321,3.02228
322,3.00431
323,2.97313
324,2.94968
325,2.91862
326,2.88442
327,2.85338
328,2.81645
329,2.78075
330,2.74847
331,2.71233
332,2.68022
333,2.64879
334,2.61432
335,2.58399
336,2.55334
337,2.52467
338,2.49979
339,2.47509
340,2.45123
341,2.42828
342,2.40679
343,2.38754
344,2.3687
345,2.35114
346,2.33469
347,2.31739
348,2.3015
349,2.28613
350,2.27052
351,2.25673
352,2.24166
353,2.22758
354,2.21412
355,2.20005
356,2.18666
357,2.17334
358,2.15975
359,2.14627
360,2.13294
361,2.11874
362,2.10475
363,2.09021
364,2.07549
365,2.06092
366,2.04543
367,2.03027
368,2.01445
369,1.9987
370,1.98362
371,1.96669
372,1.95078
373,1.93398
374,1.91758
375,1.90064
376,1.88358
377,1.86695
378,1.85016
379,1.83421
380,1.81866
381,1.80306
382,1.78801
383,1.77283
384,1.75789
385,1.74379
386,1.72992
387,1.71643
388,1.70292
389,1.68937
390,1.67563
391,1.66131
392,1.64624
393,1.63109
394,1.61621
395,1.60138
396,1.58681
397,1.57209
398,1.55721
399,1.5422
400,1.52739
401,1.51284
402,1.49822
403,1.48374
404,1.46954
405,1.45528
406,1.44145
407,1.42807
408,1.41483
409,1.40216
410,1.38952
411,1.37621
412,1.36403
413,1.35207
414,1.34028
415,1.32862
416,1.31704
417,1.30553
418,1.29407
419,1.28267
420,1.27117
421,1.25968
422,1.24794
423,1.23622
424,1.22455
425,1.21277
426,1.20125
427,1.18958
428,1.17795
429,1.16655
430,1.15518
431,1.14411
432,1.13315
433,1.12219
434,1.11149
435,1.10094
436,1.09054
437,1.0804
438,1.07041
439,1.06055
440,1.05078
441,1.0411
442,1.03165
443,1.02229
444,1.01309
445,1.00405
446,0.99515
447,0.98634
448,0.97771
449,0.96919
450,0.96085
451,0.95245
452,0.94433
453,0.93636
454,0.92847
455,0.92079
456,0.91321
457,0.90578
458,0.89857
459,0.89134
460,0.88432
461,0.87744
462,0.87067
463,0.86416
464,0.85765
465,0.85133
466,0.8452
467,0.83915
468,0.83326
469,0.82754
470,0.82187
471,0.81641
472,0.811
473,0.80565
474,0.80053
475,0.79549
476,0.79063
477,0.78586
478,0.78118
479,0.77672
480,0.77236
481,0.76809
482,0.76398
483,0.75992
484,0.75597
485,0.75214
486,0.74839
487,0.74481
488,0.74134
489,0.73801
490,0.73473
491,0.73151
492,0.7284
493,0.72544
494,0.72258
495,0.71983
496,0.71714
497,0.71452
498,0.71202
499,0.70955
500,0.70717
501,0.70493
502,0.70281
503,0.70083
504,0.6989
505,0.69704
506,0.69527
507,0.69357
508,0.69197
509,0.69048
510,0.68899
511,0.68755
512,0.68617
513,0.6849
514,0.6836
515,0.68233
516,0.68105
517,0.67963
518,0.67811
519,0.67635
520,0.67424
521,0.6717
522,0.66842
523,0.66425
524,0.65898
525,0.65212
526,0.64332
527,0.63214
528,0.61814
529,0.60104
530,0.58063
531,0.55711
532,0.53091
533,0.50283
534,0.47398
535,0.44562
536,0.419
537,0.39508
538,0.3744
539,0.35708
540,0.34298
541,0.33174
542,0.32299
543,0.31626
544,0.31119
545,0.30743
546,0.30462
547,0.30261
548,0.30115
549,0.30015
550,0.29952
551,0.29911
552,0.29888
553,0.29884
554,0.29892
555,0.29909
556,0.29932
557,0.29959
558,0.29991
559,0.30024
560,0.30064
561,0.30106
562,0.30146
563,0.30194
564,0.30238
565,0.30285
566,0.30338
567,0.30385
568,0.30435
569,0.30483
570,0.30528
571,0.30574
572,0.30622
573,0.30667
574,0.30711
575,0.30761
576,0.30804
577,0.3085
578,0.30894
579,0.30934
580,0.30978
581,0.31017
582,0.3106
583,0.31103
584,0.31139
585,0.31179
586,0.31216
587,0.31253
588,0.3129
589,0.31324
590,0.31356
591,0.31383
592,0.31414
593,0.31439
594,0.31465
595,0.31491
596,0.31512
597,0.31533
598,0.31552
599,0.31566
600,0.31582
