,BPA
300,2.59879
301,2.58702
302,2.58426
303,2.58423
304,2.57727
305,2.58083
306,2.57698
307,2.57257
308,2.5728
309,2.56541
310,2.56215
311,2.56087
312,2.5546
313,2.55378
314,2.55054
315,2.54541
316,2.54296
317,2.53517
318,2.52892
319,2.52335
320,2.51365
321,2.5062
322,2.49526
323,2.48318
324,2.47518
325,2.4622
326,2.45158
327,2.43974
328,2.42556
329,2.41398
330,2.39937
331,2.38512
332,2.37142
333,2.35665
334,2.34369
335,2.33093
336,2.3178
337,2.30595
338,2.29355
339,2.28144
340,2.26981
341,2.2704
342,2.25944
343,2.24936
344,2.23824
345,2.22779
346,2.2177
347,2.20752
348,2.19847
349,2.1891
350,2.17993
351,2.17123
352,2.16169
353,2.1525
354,2.14379
355,2.13449
356,2.12622
357,2.11756
358,2.10816
359,2.0993
360,2.08961
361,2.08058
362,2.07153
363,2.06168
364,2.05176
365,2.04134
366,2.03046
367,2.01991
368,2.00895
369,1.99733
370,1.98594
371,1.97069
372,1.95872
373,1.94636
374,1.93385
375,1.9211
376,1.90754
377,1.89459
378,1.88168
379,1.86868
380,1.85651
381,1.84373
382,1.83112
383,1.81885
384,1.80658
385,1.79506
386,1.78392
387,1.77306
388,1.76256
389,1.75208
390,1.74127
391,1.73027
392,1.71843
393,1.70601
394,1.69412
395,1.68155
396,1.66919
397,1.65681
398,1.64341
399,1.63033
400,1.61689
401,1.6034
402,1.59007
403,1.57636
404,1.56304
405,1.54984
406,1.53677
407,1.5242
408,1.51167
409,1.4994
410,1.48746
411,1.4741
412,1.46255
413,1.45126
414,1.44014
415,1.4295
416,1.41877
417,1.40805
418,1.39748
419,1.38644
420,1.37557
421,1.36452
422,1.35297
423,1.34149
424,1.32972
425,1.31776
426,1.30597
427,1.29401
428,1.28195
429,1.27008
430,1.25819
431,1.2464
432,1.23477
433,1.22316
434,1.21184
435,1.20075
436,1.18993
437,1.1793
438,1.16873
439,1.15832
440,1.14804
441,1.13792
442,1.12799
443,1.11813
444,1.10828
445,1.09857
446,1.08891
447,1.07936
448,1.07
449,1.06075
450,1.05164
451,1.04209
452,1.03316
453,1.02434
454,1.01561
455,1.00703
456,0.9985
457,0.99011
458,0.98189
459,0.9737
460,0.96568
461,0.9577
462,0.94984
463,0.94223
464,0.93475
465,0.92741
466,0.92014
467,0.91295
468,0.90593
469,0.89891
470,0.89203
471,0.88528
472,0.87861
473,0.8721
474,0.86573
475,0.85945
476,0.85338
477,0.8474
478,0.84151
479,0.83576
480,0.83011
481,0.82468
482,0.81929
483,0.81404
484,0.80887
485,0.80382
486,0.7989
487,0.79407
488,0.78933
489,0.78472
490,0.78023
491,0.7758
492,0.77153
493,0.76739
494,0.7633
495,0.75933
496,0.75546
497,0.7517
498,0.7481
499,0.74454
500,0.7411
501,0.73774
502,0.73453
503,0.73145
504,0.7284
505,0.72548
506,0.72266
507,0.71996
508,0.71739
509,0.71494
510,0.71254
511,0.71013
512,0.70788
513,0.70567
514,0.70354
515,0.70142
516,0.6992
517,0.69696
518,0.69456
519,0.69186
520,0.68881
521,0.68525
522,0.68092
523,0.67567
524,0.66921
525,0.66114
526,0.65098
527,0.63833
528,0.62282
529,0.60403
530,0.58197
531,0.55669
532,0.52859
533,0.49848
534,0.46743
535,0.4369
536,0.40796
537,0.38152
538,0.35818
539,0.33815
540,0.32157
541,0.30799
542,0.29714
543,0.28857
544,0.2818
545,0.27656
546,0.27244
547,0.26925
548,0.26682
549,0.26492
550,0.26351
551,0.26243
552,0.26164
553,0.26109
554,0.2607
555,0.26046
556,0.26033
557,0.26032
558,0.26035
559,0.26048
560,0.26063
561,0.26087
562,0.26113
563,0.26145
564,0.26182
565,0.2622
566,0.26265
567,0.26308
568,0.26353
569,0.26397
570,0.26442
571,0.26491
572,0.26543
573,0.26596
574,0.26649
575,0.26703
576,0.26756
577,0.26811
578,0.26865
579,0.26918
580,0.26973
581,0.27027
582,0.27083
583,0.27141
584,0.27195
585,0.27249
586,0.27304
587,0.27359
588,0.27413
589,0.27466
590,0.27518
591,0.27567
592,0.27617
593,0.2766
594,0.27706
595,0.27751
596,0.27795
597,0.2784
598,0.27884
599,0.27922
600,0.2796
