,F-BPA
300,3.15584
301,3.16785
302,3.1289
303,3.141
304,3.13509
305,3.11207
306,3.12372
307,3.10175
308,3.08805
309,3.09058
310,3.06725
311,3.06374
312,3.05913
313,3.04163
314,3.04116
315,3.03024
316,3.01899
317,3.01662
318,2.99959
319,2.98425
320,2.96972
321,2.94694
322,2.93371
323,2.91556
324,2.89214
325,2.87232
326,2.84529
327,2.82213
328,2.7978
329,2.76932
330,2.74334
331,2.71496
332,2.68646
333,2.66137
334,2.63485
335,2.60969
336,2.58754
337,2.56351
338,2.54321
339,2.52286
340,2.50151
341,2.48397
342,2.46523
343,2.44845
344,2.43054
345,2.41526
346,2.39944
347,2.38353
348,2.36967
349,2.35416
350,2.34026
351,2.32755
352,2.31311
353,2.30094
354,2.28803
355,2.2743
356,2.26232
357,2.24942
358,2.23705
359,2.22517
360,2.21217
361,2.1999
362,2.187
363,2.1734
364,2.16066
365,2.14656
366,2.13204
367,2.11809
368,2.10319
369,2.08852
370,2.07403
371,2.05861
372,2.04322
373,2.02767
374,2.01137
375,1.99565
376,1.9795
377,1.96347
378,1.94782
379,1.93202
380,1.91684
381,1.90181
382,1.88699
383,1.87284
384,1.85877
385,1.84526
386,1.83236
387,1.81956
388,1.80719
389,1.79483
390,1.78189
391,1.76921
392,1.75588
393,1.74192
394,1.72791
395,1.7131
396,1.6982
397,1.68335
398,1.66832
399,1.65342
400,1.63839
401,1.62337
402,1.60843
403,1.59348
404,1.57883
405,1.56445
406,1.55018
407,1.5363
408,1.52261
409,1.50944
410,1.49658
411,1.48321
412,1.47091
413,1.45904
414,1.44735
415,1.43572
416,1.42431
417,1.41275
418,1.40123
419,1.38976
420,1.37799
421,1.3662
422,1.35416
423,1.34189
424,1.32949
425,1.31684
426,1.30436
427,1.29176
428,1.27924
429,1.2669
430,1.25449
431,1.24241
432,1.23034
433,1.21848
434,1.20694
435,1.19541
436,1.18429
437,1.17333
438,1.16244
439,1.15179
440,1.14128
441,1.13081
442,1.12055
443,1.11039
444,1.10027
445,1.09032
446,1.0805
447,1.0708
448,1.06126
449,1.05178
450,1.04243
451,1.03299
452,1.02381
453,1.01488
454,1.00606
455,0.99732
456,0.98875
457,0.98028
458,0.97193
459,0.96373
460,0.95569
461,0.94776
462,0.93994
463,0.9323
464,0.92473
465,0.91736
466,0.91016
467,0.90303
468,0.89605
469,0.88913
470,0.88234
471,0.8757
472,0.86915
473,0.86279
474,0.85661
475,0.85046
476,0.84446
477,0.83857
478,0.83282
479,0.82723
480,0.8218
481,0.81651
482,0.81128
483,0.80623
484,0.80122
485,0.79636
486,0.79167
487,0.78705
488,0.78254
489,0.77816
490,0.77384
491,0.76964
492,0.76553
493,0.76153
494,0.75767
495,0.75391
496,0.75031
497,0.74678
498,0.74338
499,0.74008
500,0.73687
501,0.73373
502,0.73073
503,0.72786
504,0.72508
505,0.72243
506,0.71977
507,0.71727
508,0.71491
509,0.71267
510,0.71057
511,0.70839
512,0.70639
513,0.7045
514,0.70266
515,0.70092
516,0.69912
517,0.69725
518,0.6953
519,0.69305
520,0.69052
521,0.68753
522,0.68382
523,0.67919
524,0.67334
525,0.66588
526,0.65633
527,0.64428
528,0.62924
529,0.61081
530,0.58891
531,0.56369
532,0.53557
533,0.50538
534,0.47428
535,0.44369
536,0.41482
537,0.38868
538,0.3658
539,0.34648
540,0.3307
541,0.31795
542,0.30801
543,0.3003
544,0.29437
545,0.28993
546,0.28656
547,0.2841
548,0.28232
549,0.281
550,0.28011
551,0.27953
552,0.27919
553,0.27907
554,0.27904
555,0.27916
556,0.27934
557,0.27953
558,0.27989
559,0.28022
560,0.2806
561,0.28107
562,0.28149
563,0.28199
564,0.28248
565,0.28295
566,0.28351
567,0.28401
568,0.28454
569,0.2851
570,0.28562
571,0.28615
572,0.28669
573,0.28721
574,0.28773
575,0.28827
576,0.28877
577,0.28931
578,0.28978
579,0.29025
580,0.29078
581,0.29122
582,0.29173
583,0.2922
584,0.29262
585,0.29307
586,0.29346
587,0.29389
588,0.29427
589,0.29468
590,0.29509
591,0.29542
592,0.29579
593,0.2961
594,0.29639
595,0.29672
596,0.297
597,0.29723
598,0.29749
599,0.2977
600,0.29787
