,Br-BPA
300,2.87329
301,2.88605
302,2.87859
303,2.86856
304,2.87562
305,2.86412
306,2.86166
307,2.86232
308,2.85184
309,2.856
310,2.85196
311,2.84507
312,2.8485
313,2.83922
314,2.83645
315,2.83387
316,2.82112
317,2.8171
318,2.80918
319,2.79952
320,2.79459
321,2.78211
322,2.77092
323,2.76093
324,2.74365
325,2.73015
326,2.71121
327,2.68922
328,2.66903
329,2.64414
330,2.62053
331,2.59759
332,2.57216
333,2.55011
334,2.52725
335,2.50319
336,2.48187
337,2.45879
338,2.43796
339,2.41889
340,2.39928
341,2.39178
342,2.37371
343,2.35739
344,2.34013
345,2.32517
346,2.31036
347,2.29433
348,2.2806
349,2.26692
350,2.25327
351,2.2412
352,2.22854
353,2.21573
354,2.20313
355,2.19003
356,2.17723
357,2.16452
358,2.15194
359,2.13973
360,2.12731
361,2.11442
362,2.102
363,2.08861
364,2.0752
365,2.06144
366,2.04734
367,2.03302
368,2.01822
369,2.00318
370,1.98809
371,1.97184
372,1.95625
373,1.94047
374,1.92463
375,1.90882
376,1.89265
377,1.87658
378,1.86089
379,1.84532
380,1.83035
381,1.81578
382,1.8011
383,1.78677
384,1.7725
385,1.75853
386,1.74513
387,1.732
388,1.71897
389,1.7058
390,1.69253
391,1.67896
392,1.66399
393,1.64879
394,1.63406
395,1.61926
396,1.60545
397,1.59145
398,1.5766
399,1.5621
400,1.54736
401,1.53258
402,1.51833
403,1.50381
404,1.48962
405,1.47567
406,1.46187
407,1.44832
408,1.43518
409,1.4223
410,1.40974
411,1.39654
412,1.3844
413,1.37256
414,1.36085
415,1.34929
416,1.33783
417,1.32624
418,1.31477
419,1.30328
420,1.29174
421,1.2802
422,1.2683
423,1.25638
424,1.2444
425,1.23232
426,1.22044
427,1.20857
428,1.1968
429,1.1852
430,1.17372
431,1.16232
432,1.15095
433,1.13973
434,1.1287
435,1.11789
436,1.10728
437,1.09682
438,1.08659
439,1.07649
440,1.06649
441,1.05656
442,1.04685
443,1.03723
444,1.02776
445,1.01844
446,1.00923
447,1.00024
448,0.99143
449,0.9827
450,0.97412
451,0.96534
452,0.95699
453,0.94873
454,0.94069
455,0.93268
456,0.92487
457,0.91724
458,0.90962
459,0.90224
460,0.89493
461,0.8878
462,0.88079
463,0.87389
464,0.86722
465,0.86067
466,0.85421
467,0.84793
468,0.84173
469,0.83567
470,0.82973
471,0.82392
472,0.81824
473,0.81264
474,0.80718
475,0.80189
476,0.79672
477,0.79167
478,0.78674
479,0.78189
480,0.77724
481,0.77271
482,0.76825
483,0.7639
484,0.75963
485,0.75544
486,0.75139
487,0.74743
488,0.74362
489,0.73994
490,0.73625
491,0.7327
492,0.72921
493,0.72586
494,0.72266
495,0.71952
496,0.71642
497,0.71342
498,0.71051
499,0.70769
500,0.70499
501,0.70232
502,0.69987
503,0.69742
504,0.6951
505,0.69285
506,0.69066
507,0.6886
508,0.68665
509,0.68485
510,0.68308
511,0.68113
512,0.6795
513,0.67796
514,0.67644
515,0.67494
516,0.67347
517,0.6719
518,0.67023
519,0.66831
520,0.66607
521,0.66342
522,0.66001
523,0.65569
524,0.65026
525,0.64324
526,0.63427
527,0.62287
528,0.6086
529,0.59119
530,0.57048
531,0.54661
532,0.52017
533,0.49199
534,0.46311
535,0.43475
536,0.40805
537,0.38392
538,0.36283
539,0.34495
540,0.3303
541,0.31831
542,0.30883
543,0.3014
544,0.29559
545,0.29113
546,0.2876
547,0.28487
548,0.28279
549,0.28111
550,0.27985
551,0.27885
552,0.27805
553,0.27748
554,0.27702
555,0.27669
556,0.27647
557,0.27629
558,0.27617
559,0.27611
560,0.27603
561,0.27601
562,0.27603
563,0.27606
564,0.27613
565,0.27617
566,0.27628
567,0.27636
568,0.27646
569,0.27661
570,0.27671
571,0.27681
572,0.27698
573,0.27709
574,0.2772
575,0.27739
576,0.27747
577,0.2776
578,0.2777
579,0.27774
580,0.27789
581,0.27797
582,0.27809
583,0.27823
584,0.27828
585,0.27839
586,0.27847
587,0.27851
588,0.27858
589,0.27862
590,0.27865
591,0.27868
592,0.27871
593,0.27869
594,0.27868
595,0.27864
596,0.27859
597,0.27852
598,0.27843
599,0.27833
600,0.27822
